"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2014","1,090.00","1,090.00","1,090.00","1,090.00","","-2.24%"
"03/28/2014","1,115.00","1,115.00","1,115.00","1,115.00","","-2.11%"
"03/27/2014","1,139.00","1,139.00","1,139.00","1,139.00","","-3.47%"
"03/26/2014","1,180.00","1,180.00","1,180.00","1,180.00","","-1.75%"
"03/25/2014","1,201.00","1,201.00","1,201.00","1,201.00","","-0.50%"
"03/24/2014","1,207.00","1,207.00","1,207.00","1,207.00","","-0.17%"
"03/21/2014","1,209.00","1,209.00","1,209.00","1,209.00","","0.33%"
"03/20/2014","1,205.00","1,205.00","1,205.00","1,205.00","","0.42%"
"03/19/2014","1,200.00","1,200.00","1,200.00","1,200.00","","0.17%"
"03/18/2014","1,198.00","1,198.00","1,198.00","1,198.00","","0.59%"
"03/17/2014","1,191.00","1,191.00","1,191.00","1,191.00","","0.68%"
"03/14/2014","1,183.00","1,183.00","1,183.00","1,183.00","","0.85%"
"03/13/2014","1,173.00","1,173.00","1,173.00","1,173.00","","1.21%"
"03/12/2014","1,159.00","1,159.00","1,159.00","1,159.00","","0.87%"
"03/11/2014","1,149.00","1,149.00","1,149.00","1,149.00","","1.06%"
"03/10/2014","1,137.00","1,137.00","1,137.00","1,137.00","","0.53%"
"03/07/2014","1,131.00","1,131.00","1,131.00","1,131.00","","0.80%"
"03/06/2014","1,122.00","1,122.00","1,122.00","1,122.00","","0.54%"
"03/05/2014","1,116.00","1,116.00","1,116.00","1,116.00","","0.09%"
"03/04/2014","1,115.00","1,115.00","1,115.00","1,115.00","","0.72%"
"03/03/2014","1,107.00","1,107.00","1,107.00","1,107.00","","0.36%"
"02/28/2014","1,103.00","1,103.00","1,103.00","1,103.00","","0.27%"
"02/27/2014","1,100.00","1,100.00","1,100.00","1,100.00","","0.27%"
"02/26/2014","1,097.00","1,097.00","1,097.00","1,097.00","","0.09%"
"02/25/2014","1,096.00","1,096.00","1,096.00","1,096.00","","0.00%"
"02/24/2014","1,096.00","1,096.00","1,096.00","1,096.00","","-0.18%"
"02/21/2014","1,098.00","1,098.00","1,098.00","1,098.00","","1.01%"
"02/20/2014","1,087.00","1,087.00","1,087.00","1,087.00","","1.78%"
"02/19/2014","1,068.00","1,068.00","1,068.00","1,068.00","","1.81%"
"02/18/2014","1,049.00","1,049.00","1,049.00","1,049.00","","2.24%"
"02/17/2014","1,026.00","1,026.00","1,026.00","1,026.00","","2.81%"
"02/14/2014","998.00","998.00","998.00","998.00","","3.42%"
"02/13/2014","965.00","965.00","965.00","965.00","","2.88%"
"02/12/2014","938.00","938.00","938.00","938.00","","1.08%"
"02/11/2014","928.00","928.00","928.00","928.00","","-0.11%"
"02/10/2014","929.00","929.00","929.00","929.00","","0.00%"
"02/07/2014","929.00","929.00","929.00","929.00","","-0.85%"
"02/06/2014","937.00","937.00","937.00","937.00","","-1.16%"
"02/05/2014","948.00","948.00","948.00","948.00","","-1.35%"
"02/04/2014","961.00","961.00","961.00","961.00","","-1.44%"
"02/03/2014","975.00","975.00","975.00","975.00","","-2.11%"
"01/31/2014","996.00","996.00","996.00","996.00","","-2.16%"
"01/30/2014","1,018.00","1,018.00","1,018.00","1,018.00","","-3.60%"
"01/29/2014","1,056.00","1,056.00","1,056.00","1,056.00","","-2.13%"
"01/28/2014","1,079.00","1,079.00","1,079.00","1,079.00","","-1.73%"
"01/27/2014","1,098.00","1,098.00","1,098.00","1,098.00","","-1.26%"
"01/24/2014","1,112.00","1,112.00","1,112.00","1,112.00","","-0.80%"
"01/23/2014","1,121.00","1,121.00","1,121.00","1,121.00","","-0.80%"
"01/22/2014","1,130.00","1,130.00","1,130.00","1,130.00","","-0.96%"
"01/21/2014","1,141.00","1,141.00","1,141.00","1,141.00","","-1.13%"
"01/20/2014","1,154.00","1,154.00","1,154.00","1,154.00","","-0.94%"
"01/17/2014","1,165.00","1,165.00","1,165.00","1,165.00","","-0.85%"
"01/16/2014","1,175.00","1,175.00","1,175.00","1,175.00","","-0.59%"
"01/15/2014","1,182.00","1,182.00","1,182.00","1,182.00","","-0.59%"
"01/14/2014","1,189.00","1,189.00","1,189.00","1,189.00","","-0.17%"
"01/13/2014","1,191.00","1,191.00","1,191.00","1,191.00","","0.08%"
"01/10/2014","1,190.00","1,190.00","1,190.00","1,190.00","","0.17%"
"01/09/2014","1,188.00","1,188.00","1,188.00","1,188.00","","-0.25%"
"01/08/2014","1,191.00","1,191.00","1,191.00","1,191.00","","-1.08%"
"01/07/2014","1,204.00","1,204.00","1,204.00","1,204.00","","-2.82%"
"01/06/2014","1,239.00","1,239.00","1,239.00","1,239.00","","-2.90%"
"01/03/2014","1,276.00","1,276.00","1,276.00","1,276.00","","-4.06%"
"01/02/2014","1,330.00","1,330.00","1,330.00","1,330.00","","-8.47%"
"12/24/2013","1,453.00","1,453.00","1,453.00","1,453.00","","-1.02%"
"12/23/2013","1,468.00","1,468.00","1,468.00","1,468.00","","-0.94%"
"12/20/2013","1,482.00","1,482.00","1,482.00","1,482.00","","-1.13%"
"12/19/2013","1,499.00","1,499.00","1,499.00","1,499.00","","-1.19%"
"12/18/2013","1,517.00","1,517.00","1,517.00","1,517.00","","-1.56%"
"12/17/2013","1,541.00","1,541.00","1,541.00","1,541.00","","-0.32%"
"12/16/2013","1,546.00","1,546.00","1,546.00","1,546.00","","-0.45%"
"12/13/2013","1,553.00","1,553.00","1,553.00","1,553.00","","-0.58%"
"12/12/2013","1,562.00","1,562.00","1,562.00","1,562.00","","0.13%"
"12/11/2013","1,560.00","1,560.00","1,560.00","1,560.00","","0.39%"
"12/10/2013","1,554.00","1,554.00","1,554.00","1,554.00","","-0.19%"
"12/09/2013","1,557.00","1,557.00","1,557.00","1,557.00","","0.32%"
"12/06/2013","1,552.00","1,552.00","1,552.00","1,552.00","","1.37%"
"12/05/2013","1,531.00","1,531.00","1,531.00","1,531.00","","0.59%"
"12/04/2013","1,522.00","1,522.00","1,522.00","1,522.00","","1.00%"
"12/03/2013","1,507.00","1,507.00","1,507.00","1,507.00","","1.28%"
"12/02/2013","1,488.00","1,488.00","1,488.00","1,488.00","","0.88%"
"11/29/2013","1,475.00","1,475.00","1,475.00","1,475.00","","1.17%"
"11/28/2013","1,458.00","1,458.00","1,458.00","1,458.00","","1.18%"
"11/27/2013","1,441.00","1,441.00","1,441.00","1,441.00","","1.62%"
"11/26/2013","1,418.00","1,418.00","1,418.00","1,418.00","","1.00%"
"11/25/2013","1,404.00","1,404.00","1,404.00","1,404.00","","0.79%"
"11/22/2013","1,393.00","1,393.00","1,393.00","1,393.00","","1.09%"
"11/21/2013","1,378.00","1,378.00","1,378.00","1,378.00","","0.51%"
"11/20/2013","1,371.00","1,371.00","1,371.00","1,371.00","","0.59%"
"11/19/2013","1,363.00","1,363.00","1,363.00","1,363.00","","0.22%"
"11/18/2013","1,360.00","1,360.00","1,360.00","1,360.00","","0.44%"
"11/15/2013","1,354.00","1,354.00","1,354.00","1,354.00","","1.12%"
"11/14/2013","1,339.00","1,339.00","1,339.00","1,339.00","","1.06%"
"11/13/2013","1,325.00","1,325.00","1,325.00","1,325.00","","0.30%"
"11/12/2013","1,321.00","1,321.00","1,321.00","1,321.00","","0.08%"
"11/11/2013","1,320.00","1,320.00","1,320.00","1,320.00","","0.38%"
